Customer ID,Recency,Frequency,Monetary,R,F,M,Cluster
12346.0,326,17,-51.74000000000524,2,5,1,0
12347.0,2,8,4921.53,5,4,5,1
12348.0,75,5,2019.4,3,3,4,1
12349.0,19,5,4404.54,4,3,5,1
12350.0,310,1,334.4,2,1,2,0
12351.0,375,1,300.93,2,1,2,0
12352.0,36,13,1889.21,4,5,4,1
12353.0,204,2,406.76,2,2,2,1
12354.0,232,1,1079.4,2,1,3,1
12355.0,214,2,947.61,2,2,3,1
12356.0,23,6,6371.73,4,4,5,1
12357.0,33,3,18287.66,4,2,5,1
12358.0,2,5,3887.07,5,3,5,1
12359.0,8,14,8652.34,5,5,5,1
12360.0,52,9,4212.89,4,4,5,1
12361.0,287,4,511.25,2,3,2,0
12362.0,3,14,5284.58,5,5,5,1
12363.0,110,2,552.0,3,2,2,1
12364.0,8,4,1313.1,5,3,4,1
12365.0,291,3,320.69,2,2,2,0
12366.0,634,1,500.24,1,1,2,0
12367.0,4,1,168.9,5,1,1,1
12368.0,628,1,917.7,1,1,3,0
12369.0,413,3,1791.1499999999999,2,2,4,0
12370.0,51,7,4316.5599999999995,4,4,5,1
12371.0,45,5,4067.38,4,3,5,1
12372.0,72,3,1298.04,3,2,4,1
12373.0,311,3,1127.65,2,2,3,0
12374.0,25,4,2989.22,4,3,5,1
12375.0,3,3,455.42,5,2,2,1
12376.0,390,2,503.15,2,2,2,0
12377.0,315,4,3426.32,2,3,5,0
12378.0,130,2,5416.32,3,2,5,1
12379.0,82,5,1618.27,3,3,4,1
12380.0,22,15,7888.0,4,5,5,1
12381.0,5,6,1803.96,5,4,4,1
12382.0,682,1,-18.38,1,1,1,0
12383.0,185,6,1839.31,3,4,4,1
12384.0,29,3,566.16,4,2,2,1
12385.0,379,2,1923.4,2,2,4,0
12386.0,338,2,401.9,2,2,2,0
12387.0,415,1,143.94,1,1,1,0
12388.0,16,8,3901.11,5,4,5,1
12389.0,403,3,1433.33,2,2,4,0
12390.0,80,1,549.84,3,1,2,1
12391.0,22,7,2699.24,4,4,4,1
12392.0,591,1,234.75,1,1,1,0
12393.0,72,7,2376.75,3,4,4,1
12394.0,64,2,1272.48,3,2,4,1
12395.0,16,18,4700.82,5,5,5,1
12396.0,674,1,931.43,1,1,3,0
12397.0,36,2,2409.9,4,2,4,1
12398.0,46,1,1635.6599999999999,4,1,4,1
12399.0,119,7,1962.3,3,4,4,1
12400.0,414,1,205.25,2,1,1,0
12401.0,303,1,84.3,2,1,1,0
12402.0,323,7,1244.15,2,4,4,0
12403.0,50,3,1001.36,4,2,3,1
12404.0,682,1,63.24,1,1,1,0
12405.0,149,1,1710.3899999999999,3,1,4,1
12406.0,22,7,6072.21,4,4,5,1
12407.0,50,5,1708.12,4,3,4,1
12408.0,33,14,4279.64,4,5,5,1
12409.0,79,13,23090.47,3,5,5,1
12410.0,301,4,1001.46,2,3,3,0
12411.0,410,1,346.9,2,1,2,0
12412.0,75,8,2581.03,3,4,4,1
12413.0,67,6,935.5,3,4,3,1
12414.0,217,8,692.41,2,4,3,1
12415.0,24,33,143269.29,4,5,5,2
12416.0,657,1,202.56,1,1,1,0
12417.0,3,27,6688.71,5,5,5,1
